Income,Savings,Debt_Status,Investable_Amount,Investment_Term_Months,Risk_Tolerance,Investment_Purpose,Age,Employment_Status,Risk_Capacity_Score,Risk_Tolerance_Score,Final_Risk_Score,Risk_Profile
"Less than 25,000",20861,"Over 25,000",13617,95,5,Wealth accumulation,26,Retired,24.8,98.8,54.4,Balanced
"100,000 or more",300000,"Less than 10,000",60977,317,2,Retirement savings,38,Employed,71.7,19.0,50.6,Balanced
"100,000 or more",121069,"10,000 - 25,000",67650,89,3,Buying property,37,Employed,53.3,52.2,52.9,Balanced
"75,000 - 99,999",289306,No debt,63735,114,4,Buying property,53,Self-employed,65.3,77.7,70.3,Growth
"25,000 - 49,999",128585,"Less than 10,000",34867,37,3,Buying property,36,Employed,44.9,44.5,44.7,Balanced
0 - No income / rely on investment returns,7073,"Over 25,000",3345,162,2,Retirement savings,63,Employed,16.7,24.3,19.7,Defensive
"100,000 or more",86827,No debt,58045,91,5,Wealth accumulation,26,Employed,64.1,98.3,77.8,Growth
"25,000 - 49,999",29204,"Less than 10,000",12129,327,2,Retirement savings,56,Employed,45.0,26.3,37.5,Conservative
"100,000 or more",117600,No debt,36091,90,4,Wealth accumulation,37,Employed,61.7,69.4,64.8,Growth
"100,000 or more",132287,No debt,39630,276,2,Retirement savings,70,Employed,70.0,31.3,54.5,Balanced
"75,000 - 99,999",103290,No debt,9030,63,3,Retirement savings,51,Employed,51.2,54.6,52.5,Balanced
"Less than 25,000",55390,"10,000 - 25,000",17195,71,3,Wealth accumulation,65,Student,34.9,48.2,40.2,Balanced
"25,000 - 49,999",103502,"Over 25,000",16567,85,2,Funding education,41,Employed,32.4,23.9,29.0,Conservative
"75,000 - 99,999",149355,No debt,59968,316,2,Retirement savings,64,Retired,67.5,24.3,50.2,Balanced
"25,000 - 49,999",37052,No debt,12735,40,3,Buying property,55,Employed,39.4,46.1,42.1,Balanced
"Less than 25,000",22116,No debt,2931,106,1,Funding education,58,Employed,36.4,0.0,21.8,Conservative
"25,000 - 49,999",49116,"10,000 - 25,000",13519,97,2,Funding education,48,Retired,31.7,23.6,28.5,Conservative
"100,000 or more",149076,No debt,33888,107,2,Retirement savings,69,Employed,62.9,33.1,51.0,Balanced
"50,000 - 74,999",64384,No debt,40392,121,2,Retirement savings,59,Employed,52.0,29.7,43.1,Balanced
"25,000 - 49,999",25029,"Less than 10,000",5998,104,3,Funding education,30,Self-employed,33.4,54.7,41.9,Balanced
"Less than 25,000",45987,"Less than 10,000",21656,206,3,Retirement savings,43,Self-employed,44.6,51.8,47.5,Balanced
"50,000 - 74,999",57992,"Less than 10,000",26161,138,5,Wealth accumulation,54,Employed,44.4,94.4,64.4,Growth
"100,000 or more",97528,"10,000 - 25,000",25571,221,4,Retirement savings,31,Employed,54.9,74.8,62.9,Growth
"Less than 25,000",31818,"Less than 10,000",7805,134,3,Funding education,34,Self-employed,35.4,54.9,43.2,Balanced
"25,000 - 49,999",43504,"Less than 10,000",18596,289,2,Retirement savings,65,Employed,45.4,18.7,34.8,Conservative
"75,000 - 99,999",76656,No debt,12483,237,2,Retirement savings,56,Self-employed,57.7,28.2,45.9,Balanced
"50,000 - 74,999",37203,"10,000 - 25,000",5459,112,2,Buying property,58,Retired,33.6,36.6,34.8,Conservative
"50,000 - 74,999",66709,"Less than 10,000",11160,61,1,Funding education,52,Unemployed,39.1,5.3,25.6,Conservative
"50,000 - 74,999",100278,No debt,43537,115,3,Retirement savings,39,Employed,52.7,57.1,54.5,Balanced
"25,000 - 49,999",55987,"Less than 10,000",38104,137,3,Retirement savings,54,Retired,43.3,51.1,46.4,Balanced
"Less than 25,000",52530,"Less than 10,000",5790,329,3,Retirement savings,61,Employed,47.9,54.8,50.7,Balanced
"75,000 - 99,999",63963,"10,000 - 25,000",18755,101,3,Buying property,53,Employed,41.6,46.4,43.5,Balanced
"75,000 - 99,999",48596,No debt,3168,60,3,Funding education,46,Employed,47.7,54.0,50.2,Balanced
"75,000 - 99,999",81423,"Over 25,000",23041,287,4,Retirement savings,28,Retired,45.2,78.3,58.4,Balanced
"75,000 - 99,999",67725,No debt,26060,39,2,Funding education,44,Employed,51.1,26.4,41.2,Balanced
"25,000 - 49,999",38002,"10,000 - 25,000",6720,102,2,Buying property,56,Employed,29.4,31.6,30.3,Conservative
"25,000 - 49,999",54526,"Less than 10,000",18489,67,3,Wealth accumulation,60,Employed,36.8,47.3,41.0,Balanced
"50,000 - 74,999",54868,"10,000 - 25,000",4917,117,5,Wealth accumulation,28,Retired,34.7,99.1,60.4,Growth
"50,000 - 74,999",37767,No debt,2820,309,3,Retirement savings,51,Retired,52.2,50.5,51.5,Balanced
"50,000 - 74,999",53355,"Less than 10,000",18796,252,3,Retirement savings,41,Retired,47.8,44.9,46.6,Balanced
"50,000 - 74,999",83638,"10,000 - 25,000",33930,165,3,Retirement savings,36,Employed,42.2,51.1,45.8,Balanced
"75,000 - 99,999",128808,No debt,56678,84,2,Buying property,46,Employed,57.1,16.4,40.8,Balanced
"25,000 - 49,999",68273,No debt,54580,55,4,Wealth accumulation,41,Self-employed,48.8,80.2,61.4,Growth
"25,000 - 49,999",60645,"Less than 10,000",34002,109,4,Funding education,34,Employed,41.6,75.2,55.0,Balanced
"Less than 25,000",30063,"Less than 10,000",3719,45,3,Funding education,25,Employed,30.0,47.4,36.9,Conservative
"25,000 - 49,999",60055,No debt,26887,182,3,Retirement savings,46,Self-employed,49.4,45.8,48.0,Balanced
0 - No income / rely on investment returns,16849,"Less than 10,000",5257,275,3,Retirement savings,50,Unemployed,31.4,48.8,38.4,Conservative
"25,000 - 49,999",51901,No debt,16884,69,2,Funding education,42,Retired,42.4,28.4,36.8,Conservative
"25,000 - 49,999",30665,"10,000 - 25,000",8928,84,2,Buying property,38,Retired,28.8,27.7,28.4,Conservative
"Less than 25,000",33424,"10,000 - 25,000",8685,99,3,Retirement savings,53,Unemployed,29.5,46.5,36.3,Conservative
"25,000 - 49,999",59272,"10,000 - 25,000",1425,100,3,Funding education,36,Employed,30.7,45.8,36.7,Conservative
0 - No income / rely on investment returns,20410,"Over 25,000",7650,68,1,Funding education,60,Self-employed,14.0,3.3,9.7,Defensive
0 - No income / rely on investment returns,9040,"Less than 10,000",3655,130,1,Retirement savings,59,Unemployed,25.0,0.0,15.0,Defensive
"75,000 - 99,999",96613,No debt,61052,196,3,Retirement savings,36,Employed,61.8,50.3,57.2,Balanced
"25,000 - 49,999",23828,No debt,18481,51,2,Funding education,31,Retired,42.4,25.6,35.7,Conservative
"Less than 25,000",35665,"Less than 10,000",13883,168,4,Wealth accumulation,53,Self-employed,39.3,76.6,54.2,Balanced
"25,000 - 49,999",34540,"Over 25,000",15860,133,4,Wealth accumulation,35,Self-employed,28.1,79.3,48.5,Balanced
"50,000 - 74,999",165553,"Less than 10,000",94818,358,1,Retirement savings,57,Self-employed,63.5,0.0,38.1,Conservative
"Less than 25,000",34707,"Less than 10,000",19481,112,4,Buying property,30,Student,38.4,65.4,49.2,Balanced
"50,000 - 74,999",105325,"Less than 10,000",33421,92,2,Funding education,39,Retired,45.0,22.2,35.9,Conservative
"Less than 25,000",93951,"Less than 10,000",55920,86,1,Funding education,56,Employed,53.0,9.0,35.4,Conservative
"Less than 25,000",21728,"10,000 - 25,000",18413,36,4,Buying property,35,Student,29.5,85.1,51.8,Balanced
"25,000 - 49,999",60986,No debt,39409,163,3,Wealth accumulation,47,Employed,50.7,59.2,54.1,Balanced
"25,000 - 49,999",27108,"Over 25,000",9922,198,4,Retirement savings,50,Employed,28.8,74.0,46.9,Balanced
"50,000 - 74,999",83841,"Less than 10,000",25955,87,2,Wealth accumulation,58,Employed,43.0,16.1,32.2,Conservative
"50,000 - 74,999",170601,No debt,95714,52,3,Wealth accumulation,70,Employed,57.0,38.3,49.5,Balanced
"100,000 or more",88010,"10,000 - 25,000",4807,200,4,Wealth accumulation,58,Employed,51.5,71.9,59.7,Balanced
"25,000 - 49,999",31495,No debt,8174,48,3,Funding education,53,Unemployed,38.1,49.0,42.5,Balanced
"25,000 - 49,999",46862,"Over 25,000",10884,85,4,Buying property,28,Retired,25.4,81.5,47.9,Balanced
"50,000 - 74,999",196248,"Over 25,000",70391,126,2,Funding education,41,Self-employed,44.2,29.3,38.2,Conservative
"Less than 25,000",48079,"10,000 - 25,000",21476,323,2,Retirement savings,59,Employed,44.8,26.1,37.3,Conservative
"25,000 - 49,999",31197,"10,000 - 25,000",3312,280,3,Retirement savings,37,Student,35.2,45.6,39.3,Conservative
"Less than 25,000",67685,"Less than 10,000",33673,106,1,Buying property,65,Student,46.7,0.0,28.0,Conservative
0 - No income / rely on investment returns,7522,"Over 25,000",1008,105,1,Funding education,63,Retired,11.0,1.3,7.1,Defensive
"100,000 or more",300000,"Less than 10,000",190120,79,4,Wealth accumulation,39,Employed,66.1,78.5,71.1,Growth
"75,000 - 99,999",141289,"Less than 10,000",89183,228,3,Retirement savings,53,Employed,59.7,52.0,56.6,Balanced
"50,000 - 74,999",170418,"Over 25,000",35460,208,3,Retirement savings,53,Employed,44.0,44.8,44.3,Balanced
"25,000 - 49,999",21518,"Over 25,000",4450,77,4,Wealth accumulation,35,Employed,21.4,78.3,44.2,Balanced
"Less than 25,000",35589,"10,000 - 25,000",6272,261,3,Retirement savings,56,Employed,36.0,52.1,42.5,Balanced
"Less than 25,000",30581,"Less than 10,000",6769,303,4,Retirement savings,26,Student,41.8,69.6,53.0,Balanced
"Less than 25,000",19763,"Over 25,000",11459,192,5,Wealth accumulation,38,Employed,27.8,96.1,55.1,Balanced
"25,000 - 49,999",25656,"Less than 10,000",5412,228,4,Wealth accumulation,44,Employed,38.3,78.4,54.4,Balanced
"50,000 - 74,999",90923,"Over 25,000",62949,345,3,Retirement savings,46,Employed,48.1,48.8,48.4,Balanced
"50,000 - 74,999",95139,"Less than 10,000",34980,61,4,Wealth accumulation,35,Employed,43.4,82.9,59.2,Balanced
"Less than 25,000",62635,"Less than 10,000",24638,76,3,Buying property,51,Employed,43.0,52.5,46.8,Balanced
"100,000 or more",93661,No debt,76770,160,5,Wealth accumulation,27,Employed,68.8,97.6,80.3,Aggressive
"50,000 - 74,999",65737,"Less than 10,000",44422,54,4,Wealth accumulation,41,Employed,43.8,74.9,56.3,Balanced
"25,000 - 49,999",24571,"10,000 - 25,000",3668,112,3,Retirement savings,68,Retired,27.7,50.3,36.8,Conservative
"50,000 - 74,999",152454,No debt,73582,120,2,Funding education,52,Unemployed,57.6,21.4,43.1,Balanced
"25,000 - 49,999",50784,"Less than 10,000",18205,332,2,Retirement savings,53,Employed,47.5,20.4,36.7,Conservative
"Less than 25,000",46929,"Less than 10,000",6624,272,3,Retirement savings,45,Employed,44.3,53.5,48.0,Balanced
"25,000 - 49,999",71647,"10,000 - 25,000",5482,216,4,Wealth accumulation,40,Retired,37.7,79.2,54.3,Balanced
"50,000 - 74,999",146354,"Less than 10,000",68313,163,2,Retirement savings,61,Employed,52.8,28.0,42.9,Balanced
0 - No income / rely on investment returns,11356,No debt,1717,87,4,Buying property,44,Employed,27.0,82.6,49.2,Balanced
"Less than 25,000",46346,No debt,21134,208,5,Wealth accumulation,30,Student,50.6,97.3,69.3,Growth
0 - No income / rely on investment returns,16996,No debt,7741,212,4,Wealth accumulation,43,Employed,36.2,83.4,55.1,Balanced
0 - No income / rely on investment returns,49319,"Less than 10,000",29410,182,5,Wealth accumulation,29,Self-employed,35.8,95.5,59.7,Balanced
"75,000 - 99,999",60667,No debt,29549,94,3,Buying property,27,Self-employed,54.0,44.9,50.4,Balanced
"50,000 - 74,999",126746,No debt,50930,116,3,Funding education,25,Employed,54.6,41.2,49.2,Balanced
"25,000 - 49,999",58438,"Over 25,000",27366,252,1,Retirement savings,62,Employed,36.3,0.0,21.8,Conservative
"Less than 25,000",37950,"Over 25,000",22633,72,2,Funding education,39,Retired,28.0,22.5,25.8,Conservative
"25,000 - 49,999",50391,"Less than 10,000",23786,213,2,Retirement savings,58,Employed,43.7,27.6,37.2,Conservative
"25,000 - 49,999",96172,"Over 25,000",54766,37,1,Funding education,59,Employed,33.5,1.2,20.6,Conservative
"Less than 25,000",37310,No debt,17817,82,2,Buying property,49,Retired,43.1,19.0,33.4,Conservative
"25,000 - 49,999",22887,"Less than 10,000",2280,153,4,Wealth accumulation,48,Employed,33.7,73.0,49.4,Balanced
"25,000 - 49,999",90247,"Less than 10,000",47608,28,3,Buying property,36,Employed,41.9,48.1,44.4,Balanced
"50,000 - 74,999",118460,"Less than 10,000",37923,60,3,Buying property,42,Student,44.8,41.1,43.3,Balanced
"50,000 - 74,999",94636,"Less than 10,000",58009,66,2,Funding education,39,Employed,46.0,20.1,35.6,Conservative
0 - No income / rely on investment returns,9788,"Less than 10,000",3602,263,3,Retirement savings,68,Retired,30.3,46.1,36.6,Conservative
"25,000 - 49,999",30151,"Less than 10,000",8972,134,2,Funding education,40,Retired,35.9,32.2,34.4,Conservative
"50,000 - 74,999",27598,"10,000 - 25,000",9590,117,3,Buying property,51,Self-employed,35.1,51.0,41.4,Balanced
"25,000 - 49,999",61742,No debt,15534,235,3,Retirement savings,32,Employed,49.9,53.3,51.3,Balanced
"75,000 - 99,999",46890,No debt,15628,29,2,Buying property,70,Unemployed,49.0,17.5,36.4,Conservative
"50,000 - 74,999",29877,No debt,3695,50,3,Funding education,49,Employed,41.2,56.0,47.1,Balanced
"Less than 25,000",61857,"Less than 10,000",44701,202,3,Retirement savings,41,Retired,51.3,56.5,53.4,Balanced
"Less than 25,000",48011,"Less than 10,000",26499,248,3,Retirement savings,53,Employed,47.7,40.0,44.6,Balanced
"50,000 - 74,999",59733,No debt,46210,51,3,Funding education,32,Employed,50.2,46.5,48.7,Balanced
0 - No income / rely on investment returns,16094,"Over 25,000",9295,55,2,Funding education,39,Employed,14.7,27.5,19.8,Defensive
"25,000 - 49,999",14718,No debt,1000,100,2,Buying property,51,Unemployed,36.1,28.2,32.9,Conservative
"100,000 or more",190522,No debt,84703,67,2,Buying property,70,Unemployed,65.2,21.6,47.7,Balanced
"25,000 - 49,999",34689,"Less than 10,000",15969,65,4,Buying property,31,Employed,35.2,73.5,50.5,Balanced
"25,000 - 49,999",57855,No debt,6688,81,5,Wealth accumulation,27,Employed,41.6,97.0,63.8,Growth
"50,000 - 74,999",20331,"Less than 10,000",9193,130,3,Funding education,53,Retired,41.1,50.6,44.9,Balanced
"25,000 - 49,999",79965,"Less than 10,000",10019,197,3,Wealth accumulation,68,Employed,43.5,56.0,48.5,Balanced
"25,000 - 49,999",33662,No debt,8564,123,3,Retirement savings,48,Employed,41.5,46.1,43.3,Balanced
"100,000 or more",60544,No debt,40294,192,5,Wealth accumulation,27,Self-employed,67.2,100.0,80.3,Aggressive
"25,000 - 49,999",41388,"Less than 10,000",8556,38,2,Funding education,44,Employed,32.5,21.1,27.9,Conservative
"100,000 or more",89407,No debt,42950,68,2,Retirement savings,70,Unemployed,61.4,20.8,45.1,Balanced
"75,000 - 99,999",157546,No debt,7723,262,2,Retirement savings,39,Employed,62.2,29.1,49.0,Balanced
"Less than 25,000",26500,"Less than 10,000",17392,60,2,Funding education,49,Employed,34.9,29.6,32.8,Conservative
"Less than 25,000",64628,"Less than 10,000",28117,357,3,Retirement savings,54,Employed,55.7,54.3,55.1,Balanced
"Less than 25,000",38567,"Less than 10,000",10157,233,3,Retirement savings,38,Retired,41.6,43.4,42.3,Balanced
0 - No income / rely on investment returns,26914,"10,000 - 25,000",13272,108,5,Wealth accumulation,31,Employed,22.9,97.7,52.8,Balanced
"Less than 25,000",32663,"Less than 10,000",25200,119,5,Wealth accumulation,41,Self-employed,40.2,100.0,64.1,Growth
"50,000 - 74,999",133287,No debt,33427,82,2,Buying property,68,Employed,52.2,25.2,41.4,Balanced
"Less than 25,000",18366,No debt,3217,56,4,Wealth accumulation,44,Retired,33.7,69.6,48.1,Balanced
"25,000 - 49,999",51915,"10,000 - 25,000",29603,237,3,Wealth accumulation,60,Employed,40.8,52.3,45.4,Balanced
"75,000 - 99,999",75517,"Less than 10,000",16478,45,4,Buying property,33,Employed,44.1,71.4,55.1,Balanced
0 - No income / rely on investment returns,34598,"Over 25,000",9092,216,2,Retirement savings,62,Self-employed,21.4,34.0,26.4,Conservative
"75,000 - 99,999",194825,No debt,129594,98,3,Wealth accumulation,46,Employed,63.7,57.7,61.3,Growth
"Less than 25,000",32705,"10,000 - 25,000",8941,108,5,Wealth accumulation,26,Employed,29.8,100.0,57.9,Balanced
"Less than 25,000",17142,"Less than 10,000",8305,120,4,Retirement savings,48,Student,33.1,81.8,52.6,Balanced
"50,000 - 74,999",87358,No debt,44727,99,3,Funding education,32,Employed,51.8,50.3,51.2,Balanced
"50,000 - 74,999",30697,"Less than 10,000",11488,104,2,Funding education,35,Retired,40.1,28.8,35.6,Conservative
"75,000 - 99,999",207609,"Less than 10,000",4578,203,5,Wealth accumulation,37,Employed,56.4,100.0,73.8,Growth
"50,000 - 74,999",55695,No debt,32693,110,1,Funding education,41,Retired,50.4,1.2,30.8,Conservative
"75,000 - 99,999",90676,No debt,30544,164,5,Wealth accumulation,32,Employed,57.2,98.7,73.8,Growth
"Less than 25,000",23263,"10,000 - 25,000",19197,141,4,Wealth accumulation,45,Employed,34.1,66.5,47.0,Balanced
"Less than 25,000",20831,"Over 25,000",11165,88,2,Buying property,42,Unemployed,23.3,24.6,23.8,Conservative
"50,000 - 74,999",102015,"Less than 10,000",33556,97,3,Funding education,54,Retired,45.1,54.1,48.7,Balanced
"75,000 - 99,999",85053,No debt,1000,89,1,Funding education,42,Employed,50.5,4.7,32.2,Conservative
"100,000 or more",123056,No debt,16898,162,2,Retirement savings,70,Employed,63.3,27.5,49.0,Balanced
"25,000 - 49,999",29691,"Less than 10,000",16611,320,3,Retirement savings,55,Student,46.2,47.3,46.6,Balanced
"25,000 - 49,999",75251,No debt,17856,45,1,Buying property,62,Employed,43.7,0.0,26.2,Conservative
"50,000 - 74,999",113905,"Over 25,000",23627,129,1,Retirement savings,56,Retired,36.1,0.0,21.7,Conservative
"25,000 - 49,999",44183,No debt,8860,219,2,Retirement savings,35,Retired,46.4,23.5,37.2,Conservative
"100,000 or more",227093,No debt,112248,299,1,Retirement savings,69,Employed,76.9,0.0,46.1,Balanced
"75,000 - 99,999",87402,"Less than 10,000",26257,46,4,Wealth accumulation,49,Employed,45.7,78.1,58.7,Balanced
"25,000 - 49,999",72434,"10,000 - 25,000",20910,197,2,Retirement savings,57,Self-employed,39.1,34.9,37.5,Conservative
"50,000 - 74,999",31343,"Less than 10,000",5100,202,3,Wealth accumulation,62,Employed,42.1,50.6,45.5,Balanced
"50,000 - 74,999",84199,"Less than 10,000",64696,306,2,Retirement savings,65,Employed,56.7,23.9,43.6,Balanced
"Less than 25,000",28548,"Over 25,000",5456,54,5,Buying property,32,Unemployed,20.6,98.7,51.8,Balanced
"75,000 - 99,999",99518,No debt,44776,71,4,Retirement savings,35,Self-employed,54.9,75.6,63.2,Growth
"25,000 - 49,999",51839,"10,000 - 25,000",36383,143,2,Funding education,46,Retired,38.2,20.9,31.3,Conservative
"75,000 - 99,999",98045,No debt,81362,115,3,Funding education,48,Self-employed,60.5,50.6,56.5,Balanced
"25,000 - 49,999",66730,"10,000 - 25,000",38080,253,2,Retirement savings,65,Self-employed,43.5,27.3,37.0,Conservative
"75,000 - 99,999",69407,"Less than 10,000",8265,75,3,Buying property,41,Employed,44.1,51.0,46.9,Balanced
"25,000 - 49,999",65192,No debt,32287,28,3,Buying property,36,Employed,44.2,52.3,47.4,Balanced
0 - No income / rely on investment returns,31872,"Over 25,000",22111,46,1,Funding education,70,Employed,18.2,2.2,11.8,Defensive
"75,000 - 99,999",45491,No debt,13532,48,2,Buying property,56,Employed,49.3,16.1,36.1,Conservative
"Less than 25,000",22133,No debt,8484,70,2,Funding education,39,Retired,37.4,28.2,33.7,Conservative
"25,000 - 49,999",33904,"Less than 10,000",10129,58,4,Buying property,40,Employed,33.2,71.6,48.6,Balanced
"100,000 or more",69781,No debt,48794,57,4,Wealth accumulation,46,Employed,62.3,69.5,65.2,Growth
"100,000 or more",95016,"Less than 10,000",42284,200,4,Wealth accumulation,52,Employed,60.7,69.5,64.2,Growth
"25,000 - 49,999",82217,No debt,62533,218,4,Wealth accumulation,44,Employed,57.0,77.2,65.1,Growth
"50,000 - 74,999",145513,No debt,11589,262,2,Retirement savings,57,Employed,58.9,23.9,44.9,Balanced
"25,000 - 49,999",51722,No debt,5222,131,4,Wealth accumulation,34,Employed,42.7,66.6,52.3,Balanced
"Less than 25,000",27805,No debt,17731,134,1,Funding education,64,Employed,44.2,2.4,27.5,Conservative
"25,000 - 49,999",73278,"Less than 10,000",19104,282,2,Retirement savings,56,Employed,47.5,17.8,35.6,Conservative
"50,000 - 74,999",21638,"10,000 - 25,000",3712,152,2,Wealth accumulation,57,Employed,34.3,25.7,30.9,Conservative
"50,000 - 74,999",41632,"Over 25,000",17515,95,4,Buying property,26,Retired,31.0,76.2,49.1,Balanced
"50,000 - 74,999",22101,"10,000 - 25,000",15408,251,2,Retirement savings,57,Employed,43.7,29.4,38.0,Conservative
"50,000 - 74,999",41414,No debt,28631,335,2,Retirement savings,57,Employed,59.7,33.9,49.4,Balanced
"Less than 25,000",22283,"Less than 10,000",1994,141,2,Wealth accumulation,65,Self-employed,31.5,18.2,26.1,Conservative
"25,000 - 49,999",102683,No debt,32425,63,3,Retirement savings,37,Employed,48.9,49.7,49.2,Balanced
"Less than 25,000",8221,"Less than 10,000",1000,77,4,Retirement savings,54,Student,25.2,73.6,44.6,Balanced
"25,000 - 49,999",39823,"Less than 10,000",7503,79,2,Retirement savings,57,Employed,33.8,27.2,31.2,Conservative
"25,000 - 49,999",66859,No debt,18715,181,4,Retirement savings,37,Employed,48.6,76.1,59.6,Balanced
"75,000 - 99,999",113063,No debt,53367,172,5,Wealth accumulation,50,Self-employed,60.1,98.2,75.4,Growth
"25,000 - 49,999",101867,"Over 25,000",24821,139,3,Retirement savings,46,Employed,35.2,47.8,40.3,Balanced
"Less than 25,000",35440,"Less than 10,000",20233,213,2,Retirement savings,63,Self-employed,42.9,19.4,33.5,Conservative
"Less than 25,000",39428,"Less than 10,000",18930,137,5,Wealth accumulation,26,Employed,40.0,100.0,64.0,Growth
"50,000 - 74,999",28140,No debt,8800,84,3,Retirement savings,62,Student,44.4,52.3,47.6,Balanced
"50,000 - 74,999",43049,No debt,18808,228,2,Retirement savings,63,Employed,52.8,29.6,43.5,Balanced
"Less than 25,000",13409,"Over 25,000",9524,82,3,Buying property,50,Employed,22.7,48.4,33.0,Conservative
"Less than 25,000",43538,No debt,8929,360,2,Retirement savings,70,Self-employed,53.6,21.7,40.9,Balanced
"50,000 - 74,999",84000,"Less than 10,000",33549,76,2,Funding education,39,Employed,43.4,19.6,33.9,Conservative
"Less than 25,000",38248,No debt,21456,61,2,Buying property,58,Employed,43.3,26.8,36.7,Conservative
"75,000 - 99,999",59256,No debt,29714,152,3,Wealth accumulation,66,Retired,56.5,44.8,51.8,Balanced
"50,000 - 74,999",43380,No debt,20397,42,2,Buying property,68,Retired,45.5,34.2,41.0,Balanced
"Less than 25,000",36309,"10,000 - 25,000",10135,49,2,Wealth accumulation,64,Employed,28.4,18.5,24.4,Conservative
"Less than 25,000",23397,"10,000 - 25,000",7211,162,4,Wealth accumulation,35,Retired,29.8,76.4,48.4,Balanced
"100,000 or more",72326,"10,000 - 25,000",36301,184,4,Wealth accumulation,27,Unemployed,54.7,82.8,66.0,Growth
"25,000 - 49,999",38039,No debt,28637,178,5,Wealth accumulation,30,Student,49.3,100.0,69.6,Growth
"25,000 - 49,999",35248,"10,000 - 25,000",8333,62,5,Retirement savings,33,Employed,28.0,100.0,56.8,Balanced
"75,000 - 99,999",59693,"Less than 10,000",29423,72,2,Funding education,30,Retired,47.1,20.2,36.3,Conservative
"100,000 or more",65268,No debt,16614,69,4,Buying property,33,Employed,58.1,68.1,62.1,Growth
"100,000 or more",150768,"Less than 10,000",98518,75,2,Retirement savings,63,Unemployed,59.9,28.9,47.5,Balanced
"50,000 - 74,999",153622,No debt,88198,324,3,Retirement savings,55,Employed,67.1,57.5,63.3,Growth
"25,000 - 49,999",48101,No debt,29342,298,2,Retirement savings,56,Employed,54.3,22.8,41.7,Balanced
"Less than 25,000",36545,"10,000 - 25,000",6626,322,2,Retirement savings,65,Retired,38.9,19.3,31.1,Conservative
"50,000 - 74,999",92264,No debt,66256,37,3,Buying property,36,Employed,51.7,37.7,46.1,Balanced
"25,000 - 49,999",58914,"Less than 10,000",5327,169,5,Wealth accumulation,32,Unemployed,39.2,95.1,61.5,Growth
"25,000 - 49,999",32115,"Less than 10,000",7232,50,5,Wealth accumulation,32,Unemployed,31.9,99.4,58.9,Balanced
"75,000 - 99,999",217567,"10,000 - 25,000",26476,75,3,Buying property,52,Self-employed,47.6,58.0,51.8,Balanced
"Less than 25,000",22391,"Over 25,000",11703,107,5,Wealth accumulation,44,Employed,24.4,100.0,54.6,Balanced
"25,000 - 49,999",67819,"10,000 - 25,000",20143,69,3,Funding education,31,Self-employed,33.3,51.5,40.6,Balanced
0 - No income / rely on investment returns,22434,"Less than 10,000",7988,139,1,Funding education,35,Employed,27.1,0.0,16.3,Defensive
"25,000 - 49,999",18422,No debt,5991,36,2,Funding education,44,Employed,36.5,22.1,30.7,Conservative
"Less than 25,000",27328,"Less than 10,000",5294,119,3,Buying property,40,Retired,33.0,57.0,42.6,Balanced
"Less than 25,000",33638,No debt,7905,181,4,Retirement savings,28,Employed,43.7,76.0,56.6,Balanced
"Less than 25,000",34949,No debt,17791,92,4,Buying property,30,Employed,43.1,64.5,51.7,Balanced
"50,000 - 74,999",82038,"Less than 10,000",44379,117,3,Buying property,46,Unemployed,46.4,46.6,46.5,Balanced
"50,000 - 74,999",103059,"Less than 10,000",11102,273,3,Retirement savings,50,Employed,50.3,45.7,48.4,Balanced
"25,000 - 49,999",48864,"Over 25,000",43933,183,5,Wealth accumulation,27,Employed,36.5,97.3,60.8,Growth
"100,000 or more",143840,No debt,115810,115,1,Funding education,65,Student,68.8,2.8,42.4,Balanced
"25,000 - 49,999",47958,No debt,9397,322,2,Retirement savings,66,Employed,51.1,24.5,40.4,Balanced
"Less than 25,000",19661,No debt,6859,42,2,Funding education,38,Retired,35.2,24.6,31.0,Conservative
"75,000 - 99,999",93577,"Over 25,000",9492,73,4,Buying property,35,Unemployed,35.2,81.6,53.7,Balanced
"Less than 25,000",47555,"10,000 - 25,000",3676,37,3,Funding education,42,Student,29.0,46.5,36.0,Conservative
"100,000 or more",209724,"10,000 - 25,000",138001,329,2,Retirement savings,36,Self-employed,68.0,34.3,54.5,Balanced
0 - No income / rely on investment returns,22514,"Over 25,000",7675,66,1,Funding education,47,Employed,13.9,0.0,8.3,Defensive
"100,000 or more",234762,"Less than 10,000",169799,85,4,Wealth accumulation,36,Employed,64.6,75.4,68.9,Growth
0 - No income / rely on investment returns,21219,"Less than 10,000",7742,96,1,Funding education,37,Retired,25.2,0.0,15.1,Defensive
"75,000 - 99,999",141815,No debt,23645,76,4,Wealth accumulation,49,Student,54.7,75.6,63.1,Growth
"25,000 - 49,999",78374,"Less than 10,000",17719,49,2,Wealth accumulation,69,Employed,38.1,27.2,33.8,Conservative
"100,000 or more",107740,No debt,30780,291,3,Retirement savings,43,Employed,69.5,52.2,62.6,Growth
"Less than 25,000",47009,"Less than 10,000",23672,28,3,Buying property,70,Employed,37.8,46.2,41.1,Balanced
"25,000 - 49,999",30645,"Over 25,000",9068,251,3,Retirement savings,60,Employed,30.8,44.4,36.2,Conservative
"100,000 or more",143495,"Over 25,000",61392,262,2,Retirement savings,69,Retired,55.2,37.5,48.1,Balanced
